NavCustomerNo,CompanyName,Country,Last12Months,Balance,FleetSize,Year2022,Dev2223,Year2023,Dev2324,Year2024,Dev2425,Year2025,YearToDate,LastYearToDate,LastFinancialYear
COM12578,Eagle Aviation GmbH,DE,36386,0,1,0,0,0,0,0,0,34732,21907,20253,34732
COM12579,Evolem Aviation,FR,0,0,0,0,0,0,0,0,0,0,0,0,0
COM12581,Ghadames Air,LY,96212,30739,1,0,0,0,0,0,0,98387,49249,51423,98387
COM12584,Jet Advisor,RO,0,0,0,0,0,0,0,0,0,0,0,0,0
COM12586,"Jet Commerce OU, Litavio",EE,0,0,0,0,0,0,0,0,0,0,0,0,0
COM12587,Ministry of defence SAF Airlift,SI,181768,14012,4,0,0,0,0,0,0,165513,97737,81482,165513
COM12589,Montenegro Airlines,ME,0,0,0,0,0,0,0,0,0,0,0,0,0
COM12595,Helvetic Airways AG,CH,975465,0,22,0,0,0,0,0,0,888779,600716,514030,888779
COM12598,Air Pink doo ( airpink.rs ),RS,0,0,0,0,0,0,0,0,0,0,0,0,0
COM12607,ALTENRHEIN LUFTFAHRT GmbH,AT,47391,0,1,0,0,0,0,0,0,46075,28563,27247,46075
COM12609,Aerotech FMS Pvt. Ltd,IN,432788,44191,15,0,0,0,0,0,0,312287,306306,185805,312287
COM12618,NAS CORPORATION LTD,GB,49531,0,0,0,0,0,0,0,0,47281,29818,27568,47281
COM12619,ICELANDAIR,IS,0,0,0,0,0,0,0,0,0,0,0,0,0
COM12620,ZENITH AVIATION LIMITED,GB,57060,0,4,0,0,0,0,0,0,123246,7870,74056,123246
COM12630,AIR VOLTA,BG,0,0,1,0,0,0,0,0,0,0,0,0,0
COM12632,ROYAL JET,AE,964352,0,93,0,0,0,0,0,0,-138993,964352,-138993,-138993
COM12638,JETCORP,FR,0,0,1,0,0,0,0,0,0,0,0,0,0
COM12657,Smartlynx Airlines,LV,114518,0,65,0,0,0,0,0,0,960966,0,846448,960966
COM12658,US-Bangla Airlines,BD,414990,0,13,0,0,0,0,0,0,362648,256519,204177,362648
COM12668,Chapman Freeborn Air Chartering,GB,48759,4839,0,0,0,0,0,0,0,48423,28635,28299,48423
COM12672,Isavia ANS ehf.,IS,29649,0,1,0,0,0,0,0,0,28302,17851,16504,28302
COM12674,Ventus International Aviation,US,67401,0,0,0,0,0,0,0,0,63632,38548,34780,63632
COM12676,Moonjet,AE,107854,0,0,0,0,0,0,0,0,82321,67635,42101,82321
